YEAR,REGION,AGE_GROUP,GENDER,GENDER_LABEL,POPULATION_INSEE,NB_DEPARTMENTS
2023,Auvergne-Rhône-Alpes,60-74 ans,M,M,1293534,1
2023,Auvergne-Rhône-Alpes,75+ ans,ALL,Ensemble,1648002,1
2023,Auvergne-Rhône-Alpes,75+ ans,F,F,984880,1
2023,Auvergne-Rhône-Alpes,75+ ans,M,M,663122,1
2023,Bourgogne-Franche-Comte,0-19 ans,ALL,Ensemble,654705,1
2023,Bourgogne-Franche-Comte,0-19 ans,F,F,317361,1
2023,Bourgogne-Franche-Comte,0-19 ans,M,M,337344,1
2023,Bourgogne-Franche-Comte,20-39 ans,ALL,Ensemble,635248,1
2023,Bourgogne-Franche-Comte,20-39 ans,F,F,311173,1
2023,Bourgogne-Franche-Comte,20-39 ans,M,M,324075,1
2023,Bourgogne-Franche-Comte,40-59 ans,ALL,Ensemble,755980,1
2023,Bourgogne-Franche-Comte,40-59 ans,F,F,380507,1
2023,Bourgogne-Franche-Comte,40-59 ans,M,M,375473,1
2023,Bourgogne-Franche-Comte,60-74 ans,ALL,Ensemble,578437,1
2023,Bourgogne-Franche-Comte,60-74 ans,F,F,303300,1
2023,Bourgogne-Franche-Comte,60-74 ans,M,M,275137,1
2023,Bourgogne-Franche-Comte,75+ ans,ALL,Ensemble,344718,1
2023,Bourgogne-Franche-Comte,75+ ans,F,F,205941,1
2023,Bourgogne-Franche-Comte,75+ ans,M,M,138777,1
2023,Bourgogne-Franche-Comté,0-19 ans,ALL,Ensemble,1240098,1
2023,Bourgogne-Franche-Comté,0-19 ans,F,F,601132,1
2023,Bourgogne-Franche-Comté,0-19 ans,M,M,638966,1
2023,Bourgogne-Franche-Comté,20-39 ans,ALL,Ensemble,1201168,1
2023,Bourgogne-Franche-Comté,20-39 ans,F,F,589644,1
2023,Bourgogne-Franche-Comté,20-39 ans,M,M,611524,1
2023,Bourgogne-Franche-Comté,40-59 ans,ALL,Ensemble,1427674,1
2023,Bourgogne-Franche-Comté,40-59 ans,F,F,719088,1
2023,Bourgogne-Franche-Comté,40-59 ans,M,M,708586,1
2023,Bourgogne-Franche-Comté,60-74 ans,ALL,Ensemble,1084802,1
2023,Bourgogne-Franche-Comté,60-74 ans,F,F,569208,1
2023,Bourgogne-Franche-Comté,60-74 ans,M,M,515594,1
2023,Bourgogne-Franche-Comté,75+ ans,ALL,Ensemble,646726,1
2023,Bourgogne-Franche-Comté,75+ ans,F,F,386096,1
2023,Bourgogne-Franche-Comté,75+ ans,M,M,260630,1
2023,Bretagne,0-19 ans,ALL,Ensemble,2315973,1
2023,Bretagne,0-19 ans,F,F,1125114,1
2023,Bretagne,0-19 ans,M,M,1190859,1
2023,Bretagne,20-39 ans,ALL,Ensemble,2231628,1
2023,Bretagne,20-39 ans,F,F,1098948,1
2023,Bretagne,20-39 ans,M,M,1132680,1
2023,Bretagne,40-59 ans,ALL,Ensemble,2648307,1
2023,Bretagne,40-59 ans,F,F,1330761,1
2023,Bretagne,40-59 ans,M,M,1317546,1
2023,Bretagne,60-74 ans,ALL,Ensemble,1981143,1
2023,Bretagne,60-74 ans,F,F,1043205,1
2023,Bretagne,60-74 ans,M,M,937938,1
2023,Bretagne,75+ ans,ALL,Ensemble,1143693,1
2023,Bretagne,75+ ans,F,F,696564,1
2023,Bretagne,75+ ans,M,M,447129,1
2023,Centre-Val-de-Loire,0-19 ans,ALL,Ensemble,1779855,1
2023,Centre-Val-de-Loire,0-19 ans,F,F,862407,1
2023,Centre-Val-de-Loire,0-19 ans,M,M,917448,1
2023,Centre-Val-de-Loire,20-39 ans,ALL,Ensemble,1656717,1
2023,Centre-Val-de-Loire,20-39 ans,F,F,828660,1
2023,Centre-Val-de-Loire,20-39 ans,M,M,828057,1
2023,Centre-Val-de-Loire,40-59 ans,ALL,Ensemble,1977975,1
2023,Centre-Val-de-Loire,40-59 ans,F,F,1003899,1
2023,Centre-Val-de-Loire,40-59 ans,M,M,974076,1
2023,Centre-Val-de-Loire,60-74 ans,ALL,Ensemble,1453605,1
2023,Centre-Val-de-Loire,60-74 ans,F,F,765870,1
2023,Centre-Val-de-Loire,60-74 ans,M,M,687735,1
2023,Centre-Val-de-Loire,75+ ans,ALL,Ensemble,876996,1
2023,Centre-Val-de-Loire,75+ ans,F,F,522303,1
2023,Centre-Val-de-Loire,75+ ans,M,M,354693,1
2023,Corse,0-19 ans,ALL,Ensemble,212889,1
2023,Corse,0-19 ans,F,F,103950,1
2023,Corse,0-19 ans,M,M,108939,1
2023,Corse,20-39 ans,ALL,Ensemble,229794,1
2023,Corse,20-39 ans,F,F,117564,1
2023,Corse,20-39 ans,M,M,112230,1
2023,Corse,40-59 ans,ALL,Ensemble,286890,1
2023,Corse,40-59 ans,F,F,146331,1
2023,Corse,40-59 ans,M,M,140559,1
2023,Corse,60-74 ans,ALL,Ensemble,206565,1
2023,Corse,60-74 ans,F,F,106944,1
2023,Corse,60-74 ans,M,M,99621,1
2023,Corse,75+ ans,ALL,Ensemble,126660,1
2023,Corse,75+ ans,F,F,72984,1
2023,Corse,75+ ans,M,M,53676,1
2023,DROM,0-19 ans,ALL,Ensemble,2107188,5
2023,DROM,0-19 ans,F,F,1044660,5
2023,DROM,0-19 ans,M,M,1062528,5
2023,DROM,20-39 ans,ALL,Ensemble,1520985,5
2023,DROM,20-39 ans,F,F,836787,5
2023,DROM,20-39 ans,M,M,684198,5
2023,DROM,40-59 ans,ALL,Ensemble,1676709,5
2023,DROM,40-59 ans,F,F,902811,5
2023,DROM,40-59 ans,M,M,773898,5
2023,DROM,60-74 ans,ALL,Ensemble,972513,5
